component_ev,value_ev
total_energy,-231.60962477937997
internal_energy,-231.59794755720023
smearing_ts,-0.01167735823667206
one_electron,66.22498092256644
hartree,15.103771093979564
xc,-84.39631947972714
ewald,-228.53038009401908
fermi,6.3449
