element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Cu,4,2,2.000000000000e+00,3.779452249252e+00,-1.365647204103e-01,-5.257027142879e-02
Cu,4,2,3.000000000000e+00,5.669178373877e+00,1.162898093622e-01,4.476549158673e-02
Cu,4,2,4.000000000000e+00,7.558904498503e+00,7.575576002423e-01,2.916200358924e-01
Cu,4,2,5.000000000000e+00,9.448630623129e+00,1.435879483329e+00,5.527384667935e-01
Cu,4,2,6.000000000000e+00,1.133835674775e+01,1.642009633512e+00,6.320877885816e-01
Cu,4,2,7.000000000000e+00,1.322808287238e+01,1.213502532517e+00,4.671349768982e-01
Cu,5,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Cu,5,2,1.000000000000e-01,1.889726124626e-01,2.785809129136e-03,1.072390743579e-03
Cu,5,2,5.000000000000e-01,9.448630623129e-01,6.986889464548e-02,2.689586845642e-02
Cu,5,2,1.000000000000e+00,1.889726124626e+00,2.810797250046e-01,1.082009862593e-01
Cu,5,2,2.000000000000e+00,3.779452249252e+00,1.091105899644e+00,4.200186778071e-01
Cu,5,2,3.000000000000e+00,5.669178373877e+00,2.043955538947e+00,7.868159298246e-01
Cu,5,2,4.000000000000e+00,7.558904498503e+00,2.300459544075e+00,8.855565498881e-01
Cu,5,2,5.000000000000e+00,9.448630623129e+00,1.389825607036e+00,5.350101342505e-01
Cu,5,2,6.000000000000e+00,1.133835674775e+01,-4.907948109661e-02,-1.889303207359e-02
Cu,5,2,7.000000000000e+00,1.322808287238e+01,-8.729131634536e-01,-3.360258915967e-01
Ga,0,0,0.000000000000e+00,0.000000000000e+00,6.182938205655e+00,2.380107678778e+00
Ga,0,0,1.000000000000e-01,1.889726124626e-01,6.180440836487e+00,2.379146322327e+00
Ga,0,0,5.000000000000e-01,9.448630623129e-01,6.118566406510e+00,2.355327904447e+00
Ga,0,0,1.000000000000e+00,1.889726124626e+00,5.903282551678e+00,2.272454885348e+00
Ga,0,0,2.000000000000e+00,3.779452249252e+00,4.817373888986e+00,1.854436871815e+00
Ga,0,0,3.000000000000e+00,5.669178373877e+00,2.806606912142e+00,1.080396801765e+00
