system,i1,i2,i3,rho_e_per_ang3
c_diamond,20,1,26,3.2123802516e-01
c_diamond,20,6,29,7.1195970179e-01
c_diamond,20,12,0,6.4668610515e-01
c_diamond,20,17,3,2.9544618748e-01
c_diamond,20,22,6,2.7911032462e-01
c_diamond,20,27,9,5.6781066704e-01
c_diamond,21,0,12,6.2571060760e-01
c_diamond,21,5,15,3.1681327547e-01
c_diamond,21,10,18,2.5388905846e-01
c_diamond,21,15,21,2.8340825387e-01
c_diamond,21,20,24,2.4350137357e-01
c_diamond,21,25,27,2.1584961582e-01
c_diamond,21,30,30,4.1991676313e-01
c_diamond,22,4,1,1.1686517245e+00
c_diamond,22,9,4,7.8298071545e-01
c_diamond,22,14,7,3.1058934011e-01
c_diamond,22,19,10,2.9066251492e-01
c_diamond,22,24,13,3.9666983930e-01
c_diamond,22,29,16,3.5839351015e-01
c_diamond,23,2,19,2.5871661958e-01
c_diamond,23,7,22,3.8337131599e-01
c_diamond,23,12,25,4.8748297364e-01
c_diamond,23,17,28,3.0989698141e-01
c_diamond,23,22,31,2.3728261143e-01
c_diamond,23,28,2,6.6320664753e-01
c_diamond,24,1,5,1.3962513684e+00
c_diamond,24,6,8,7.2974142955e-01
c_diamond,24,11,11,3.5839395165e-01
c_diamond,24,16,14,3.4528517428e-01
c_diamond,24,21,17,2.9352902742e-01
c_diamond,24,26,20,2.2573520339e-01
c_diamond,24,31,23,2.7054114487e-01
c_diamond,25,4,26,7.8460828490e-01
c_diamond,25,9,29,9.9461927812e-01
c_diamond,25,15,0,3.8107124375e-01
c_diamond,25,20,3,3.3133117430e-01
c_diamond,25,25,6,7.2926314114e-01
c_diamond,25,30,9,1.0317671073e+00
c_diamond,26,3,12,5.2663925527e-01
c_diamond,26,8,15,4.4406218730e-01
c_diamond,26,13,18,4.4011499182e-01
c_diamond,26,18,21,2.8646055475e-01
c_diamond,26,23,24,2.0137934858e-01
c_diamond,26,28,27,4.0912682999e-01
c_diamond,27,1,30,1.5455623369e+00
c_diamond,27,7,1,1.3904543205e+00
c_diamond,27,12,4,5.1811584559e-01
c_diamond,27,17,7,5.0561232737e-01
c_diamond,27,22,10,6.1897136853e-01
c_diamond,27,27,13,5.7391787606e-01
c_diamond,28,0,16,3.7624347239e-01
c_diamond,28,5,19,5.5691780510e-01
c_diamond,28,10,22,6.7768008902e-01
c_diamond,28,15,25,4.0760022935e-01
c_diamond,28,20,28,2.6156548010e-01
c_diamond,28,25,31,6.4984731997e-01
c_diamond,28,31,2,1.6449850055e+00
c_diamond,29,4,5,1.3937658098e+00
c_diamond,29,9,8,7.1116102456e-01
c_diamond,29,14,11,8.0253404267e-01
c_diamond,29,19,14,5.0231106966e-01
c_diamond,29,24,17,3.0501256949e-01
c_diamond,29,29,20,3.0920397259e-01
c_diamond,30,2,23,8.9613767454e-01
c_diamond,30,7,26,1.3528641698e+00
c_diamond,30,12,29,6.6221027721e-01
c_diamond,30,18,0,4.4704120474e-01
c_diamond,30,23,3,9.6760764737e-01
c_diamond,30,28,6,1.6096351138e+00
c_diamond,31,1,9,9.2935906231e-01
c_diamond,31,6,12,9.3693831143e-01
c_diamond,31,11,15,9.9461927812e-01
c_diamond,31,16,18,4.5082766213e-01
c_diamond,31,21,21,2.3327368244e-01
c_diamond,31,26,24,3.9231151668e-01
c_diamond,31,31,27,1.4566250813e+00
al_fcc,0,0,0,4.4001773200e-02
al_fcc,0,2,21,9.0783494335e-02
al_fcc,0,5,18,2.0745696954e-01
al_fcc,0,8,15,2.2097197862e-01
al_fcc,0,11,12,1.8039266436e-01
al_fcc,0,14,9,2.0348449607e-01
al_fcc,0,17,6,2.3006298823e-01
al_fcc,0,20,3,1.2711498140e-01
al_fcc,0,23,0,5.1079142110e-02
al_fcc,1,1,21,8.4420850167e-02
al_fcc,1,4,18,1.9450871207e-01
al_fcc,1,7,15,2.2730129686e-01
al_fcc,1,10,12,1.8224013059e-01
al_fcc,1,13,9,1.9396060930e-01
al_fcc,1,16,6,2.3428568895e-01
al_fcc,1,19,3,1.5458751942e-01
al_fcc,1,22,0,6.4719699028e-02
al_fcc,2,0,21,9.0783494335e-02
al_fcc,2,3,18,1.8689461331e-01
al_fcc,2,6,15,2.3080868752e-01
al_fcc,2,9,12,1.8417758700e-01
al_fcc,2,12,9,1.8417758700e-01
al_fcc,2,15,6,2.3080868752e-01
al_fcc,2,18,3,1.8689461331e-01
al_fcc,2,21,0,9.0783494335e-02
al_fcc,2,23,21,1.0323363397e-01
al_fcc,3,2,18,1.8689461331e-01
al_fcc,3,5,15,2.3226819645e-01
al_fcc,3,8,12,1.8593172071e-01
al_fcc,3,11,9,1.7508887748e-01
al_fcc,3,14,6,2.1966357830e-01
al_fcc,3,17,3,2.1521958566e-01
al_fcc,3,20,0,1.2711498140e-01
al_fcc,3,22,21,1.2700841922e-01
al_fcc,4,1,18,1.9450871207e-01
al_fcc,4,4,15,2.3261853475e-01
al_fcc,4,7,12,1.8725138725e-01
al_fcc,4,10,9,1.6744882447e-01
al_fcc,4,13,6,2.0417408286e-01
al_fcc,4,16,3,2.3158353225e-01
al_fcc,4,19,0,1.6941635552e-01
al_fcc,4,21,21,1.5942228345e-01
al_fcc,5,0,18,2.0745696954e-01
al_fcc,5,3,15,2.3226819645e-01
al_fcc,5,6,12,1.8795668620e-01
al_fcc,5,9,9,1.6175006229e-01
al_fcc,5,12,6,1.8795668620e-01
al_fcc,5,15,3,2.3226819645e-01
al_fcc,5,18,0,2.0745696954e-01
al_fcc,5,20,21,1.9403672339e-01
al_fcc,5,23,18,2.1259985667e-01
al_fcc,6,2,15,2.3080868752e-01
al_fcc,6,5,12,1.8795668620e-01
al_fcc,6,8,9,1.5825670709e-01
al_fcc,6,11,6,1.7382068970e-01
al_fcc,6,14,3,2.1966357830e-01
al_fcc,6,17,0,2.3006298823e-01
al_fcc,6,19,21,2.2082540654e-01
al_fcc,6,22,18,2.2587638008e-01
al_fcc,7,1,15,2.2730129686e-01
al_fcc,7,4,12,1.8725138725e-01
al_fcc,7,7,9,1.5708261070e-01
al_fcc,7,10,6,1.6358655805e-01
al_fcc,7,13,3,2.0203510006e-01
al_fcc,7,16,0,2.3334348873e-01
al_fcc,7,18,21,2.3277492043e-01
al_fcc,7,21,18,2.3277492043e-01
al_fcc,8,0,15,2.2097197862e-01
al_fcc,8,3,12,1.8593172071e-01
al_fcc,8,6,9,1.5825670709e-01
al_fcc,8,9,6,1.5825670709e-01
al_fcc,8,12,3,1.8593172071e-01
al_fcc,8,15,0,2.2097197862e-01
al_fcc,8,17,21,2.2809375485e-01
al_fcc,8,20,18,2.2973855550e-01
al_fcc,8,23,15,2.1816249106e-01
al_fcc,9,2,12,1.8417758700e-01
al_fcc,9,5,9,1.6175006229e-01
al_fcc,9,8,6,1.5825670709e-01
al_fcc,9,11,3,1.7508887748e-01
al_fcc,9,14,0,2.0348449607e-01
al_fcc,9,16,21,2.1247313219e-01
al_fcc,9,19,18,2.1739473399e-01
al_fcc,9,22,15,2.0732008895e-01
al_fcc,10,1,12,1.8224013059e-01
al_fcc,10,4,9,1.6744882447e-01
al_fcc,10,7,6,1.6358655805e-01
al_fcc,10,10,3,1.7130135025e-01
al_fcc,10,13,0,1.8862909149e-01
al_fcc,10,15,21,1.9471902424e-01
al_fcc,10,18,18,2.0046095195e-01
al_fcc,10,21,15,1.9471902424e-01
al_fcc,11,0,12,1.8039266436e-01
al_fcc,11,3,9,1.7508887748e-01
al_fcc,11,6,6,1.7382068970e-01
al_fcc,11,9,3,1.7508887748e-01
al_fcc,11,12,0,1.8039266436e-01
al_fcc,11,14,21,1.8049408723e-01
al_fcc,11,17,18,1.8345248155e-01
al_fcc,11,20,15,1.8184736959e-01
al_fcc,11,23,12,1.7777464844e-01
al_fcc,12,2,9,1.8417758700e-01
al_fcc,12,5,6,1.8795668620e-01
al_fcc,12,8,3,1.8593172071e-01
al_fcc,12,11,0,1.8039266436e-01
al_fcc,12,13,21,1.7277008357e-01
al_fcc,12,16,18,1.6952568175e-01
al_fcc,12,19,15,1.7010384230e-01
al_fcc,12,22,12,1.7499344851e-01
al_fcc,13,1,9,1.9396060930e-01
al_fcc,13,4,6,2.0417408286e-01
al_fcc,13,7,3,2.0203510006e-01
al_fcc,13,10,0,1.8862909149e-01
al_fcc,13,12,21,1.7277008357e-01
al_fcc,13,15,18,1.6055616661e-01
al_fcc,13,18,15,1.6055616661e-01
al_fcc,13,21,12,1.7277008357e-01
al_fcc,14,0,9,2.0348449607e-01
al_fcc,14,3,6,2.1966357830e-01
al_fcc,14,6,3,2.1966357830e-01
al_fcc,14,9,0,2.0348449607e-01
al_fcc,14,11,21,1.8049408723e-01
al_fcc,14,14,18,1.5747486697e-01
al_fcc,14,17,15,1.5389052732e-01
al_fcc,14,20,12,1.7115573877e-01
al_fcc,14,23,9,2.0050932720e-01
al_fcc,15,2,6,2.3080868752e-01
al_fcc,15,5,3,2.3226819645e-01
al_fcc,15,8,0,2.2097197862e-01
al_fcc,15,10,21,1.9471902424e-01
al_fcc,15,13,18,1.6055616661e-01
al_fcc,15,16,15,1.5048014598e-01
